time,raw,degrees,calibrated
01:51:44.087,3686,243.03,3686
01:51:45.022,3687,243.1,3687
01:51:45.489,3694,243.56,3694
01:51:45.956,3855,254.18,3855
01:51:46.424,3923,258.66,3923
01:51:46.892,4005,264.07,4005
01:51:47.359,4074,268.62,4074
01:51:47.825,42,2.77,42
01:51:48.292,143,9.43,143
01:51:48.758,214,14.11,214
01:51:49.224,316,20.84,316
01:51:49.691,405,26.7,405
01:51:50.157,473,31.19,473
01:51:50.625,532,35.08,532
01:51:51.091,577,38.04,577
01:51:51.557,637,42.0,637
01:51:52.023,689,45.43,689
01:51:52.489,745,49.12,745
01:51:52.955,806,53.14,806
01:51:53.421,865,57.03,865
01:51:53.887,929,61.25,929
01:51:54.353,996,65.67,996
01:51:54.820,1067,70.35,1067
01:51:55.286,1140,75.16,1140
01:51:55.753,1192,78.59,1192
01:51:56.219,1253,82.62,1253
01:51:56.685,1317,86.84,1317
01:51:57.151,1363,89.87,1363
01:51:57.617,1428,94.15,1428
01:51:58.084,1509,99.49,1509
01:51:58.550,1572,103.65,1572
01:51:59.016,1640,108.13,1640
01:51:59.482,1702,112.22,1702
01:51:59.948,1759,115.98,1759
01:52:00.414,1829,120.59,1829
01:52:00.883,1905,125.6,1905
01:52:01.349,1964,129.49,1964
01:52:01.817,2027,133.65,2027
01:52:02.283,2033,134.04,2033
