time,raw,degrees,calibrated
02:26:11.809,181,11.93,181
02:26:14.212,176,11.6,176
02:26:14.430,124,8.18,124
02:26:14.648,103,6.79,103
02:26:14.866,102,6.73,102
02:26:15.304,71,4.68,71
02:26:15.523,4090,269.67,4090
02:26:15.741,4063,267.89,4063
02:26:15.959,3997,263.54,3997
02:26:16.176,3971,261.82,3971
02:26:16.394,3970,261.76,3970
02:26:16.613,3968,261.63,3968
02:26:16.831,3911,257.87,3911
02:26:17.049,3888,256.35,3888
02:26:17.267,3887,256.29,3887
02:26:17.486,3877,255.63,3877
02:26:17.704,3819,251.8,3819
02:26:17.922,3788,249.76,3788
02:26:18.140,3736,246.33,3736
02:26:18.359,3671,242.04,3671
02:26:18.577,3619,238.62,3619
02:26:18.795,3567,235.19,3567
02:26:19.013,3534,233.01,3534
02:26:19.231,3494,230.37,3494
02:26:19.450,3446,227.21,3446
02:26:19.668,3399,224.11,3399
02:26:19.889,3341,220.29,3341
02:26:20.107,3327,219.36,3327
02:26:20.325,3265,215.27,3265
02:26:20.544,3193,210.53,3193
02:26:20.764,3159,208.29,3159
02:26:20.983,3122,205.85,3122
02:26:21.203,3107,204.86,3107
02:26:21.422,3103,204.59,3103
02:26:21.640,3102,204.53,3102
02:26:22.078,3101,204.46,3101
02:26:22.516,3100,204.4,3100
02:26:22.735,3019,199.05,3019
02:26:22.953,2916,192.26,2916
02:26:23.171,2841,187.32,2841
02:26:23.390,2762,182.11,2762
02:26:23.609,2696,177.76,2696
02:26:23.827,2623,172.95,2623
02:26:24.053,2572,169.58,2572
02:26:24.277,2501,164.9,2501
02:26:24.495,2429,160.15,2429
02:26:24.713,2359,155.54,2359
02:26:24.931,2298,151.52,2298
02:26:25.148,2229,146.97,2229
02:26:25.366,2166,142.81,2166
02:26:25.584,2133,140.64,2133
02:26:25.803,2093,138.0,2093
02:26:26.021,2062,135.96,2062
